TRAFFIC_DATE,TRAFFIC_TIME,BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,LOCATION,ON_STREET_NAME,CROSS_STREET_NAME,OFF_STREET_NAME,CONTRIBUTING_FACTOR_VEHICLE,REFERENCE_ID,TRAFFIC_VEHICLE_TYPE_CODE 1,TRAFFIC_VEHICLE_TYPE_CODE2,Junction,Label,Results
29-08-20,1:39:00,,,40.821636,-73.93909,POINT (-73.93909 40.821636),WEST 145 STREET,,,Other Vehicular,4343561,Taxi,,4 Road Junction,0,0
29-08-20,16:10:00,,,40.710476,-73.963844,POINT (-73.963844 40.710476),BEDFORD AVENUE,,,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,4343076,Station Wagon/Sport Utility Vehicle,Bike,Double Road Junction,0,0
29-08-20,7:47:00,,,,,,BELT PARKWAY,,,Unsafe Speed,4342735,Sedan,Sedan,Mall Road Junction,1,1
29-08-20,18:00:00,,,40.625916,-74.13452,POINT (-74.13452 40.625916),,,1351 FOREST AVENUE,Driver Inattention/Distraction,4343564,Station Wagon/Sport Utility Vehicle,Sedan,Double Road Junction,0,0
29-08-20,4:10:00,,,40.650944,-73.905975,POINT (-73.905975 40.650944),ROCKAWAY AVENUE,AVENUE D,,Alcohol Involvement,4342762,PK,Sedan,Mall Road Junction,1,1
29-08-20,0:30:00,BROOKLYN,11218.0,40.65188,-73.97247,POINT (-73.97247 40.65188),,,210 PROSPECT PARK SOUTHWEST,Following Too Closely,4342698,Sedan,Sedan,3,1,1
29-08-20,20:35:00,MANHATTAN,10025.0,40.801563,-73.96237,POINT (-73.96237 40.801563),,,125 WEST 109 STREET,Unspecified,4343181,Station Wagon/Sport Utility Vehicle,,5,0,0
29-08-20,12:45:00,BROOKLYN,11210.0,40.633717,-73.95073,POINT (-73.95073 40.633717),,,2704 GLENWOOD ROAD,Unspecified,4342812,Sedan,,3,0,0
29-08-20,20:59:00,,,,,,VANWYCK EXPRESSWAY,LIBERTY AVENUE,,Driver Inattention/Distraction,4343453,Sedan,,2,1,1
29-08-20,15:47:00,,,40.693436,-73.97784,POINT (-73.97784 40.693436),SAINT EDWARDS STREET,,,Unspecified,4343063,Flat Bed,Sedan,1,1,1
